brand,brand_topic_num,brand_topic_name,brand_positive,brand_neutral,brand_negative
Shopee,24,"baha, gus, tyasazuri",0.0,0.0,0.0
Shopee,25,"galaxys25, itsgalaxys25, samsungid",0.0,0.0,0.0
Shopee,26,"scarlett, whitening, angelista",0.0,0.0,0.0
Shopee,27,"iqbaal, ramadhan, dhiafakhri",0.0,0.0,0.0
Shopee,28,"kiw, malming, ngantuk",0.0,0.0,0.0
Shopee,29,"bawang, masukkan, gr",0.0,0.0,0.0
Shopee,30,"combipharid, hangestri, megawati",0.0,0.0,0.0
Shopee,31,"jet, lion, air",0.0,0.0,0.0
Shopee,32,"selaluadayangbaik, merryriana, orang",0.0,0.0,0.0
Shopee,33,"rian, fahardhi, tiktok",0.0,0.0,0.0
Shopee,34,"gak, nadanya, nyindir",0.0,0.0,0.0
Shopee,35,"dwnmemb_, dian, laura",0.0,0.0,0.0
Shopee,36,"__________________, ___luckyone, arabil__",0.0,0.0,0.0
Shopee,37,"telenovelena, mom, blm",0.0,0.0,0.0
Shopee,38,"jargon, kesuksesan, damn",0.0,0.0,0.0
Shopee,39,"mah, teu, kang",0.0,0.0,0.0
Shopee,40,"siauw, felix, skakmat",0.0,0.0,0.0
Shopee,41,"nescafe, produsen, lowongan",0.0,0.0,0.0
Shopee,42,"2017, polytron, global",0.0,0.0,0.0
Shopee,43,"bekti, ssefmun, indra",0.0,0.0,0.0
Shopee,44,"tp201, vivobook, meluncur",0.0,0.0,0.0
Shopee,45,"gideon, marcus, fernaldi",0.0,0.0,0.0
Shopee,46,"cha, eun, ambassador",0.0,0.0,0.0
Shopee,47,"axioo, diakui, asli",0.0,0.0,0.0
Shopee,48,"hammerifw, diadakan, februari",0.0,0.0,0.0
Shopee,49,"rauf, raden, radenrauf",0.0,0.0,0.0
Shopee,50,"qr, livin, kopi",0.0,0.0,0.0
Shopee,51,"australia, bekti, pindah",0.0,0.0,0.0
Shopee,52,"ampat, tambang, raja",0.0,0.0,0.0
Shopee,53,"tanyakanrl, hayuuuuukk, cewe",0.0,0.0,0.0
Shopee,54,"jodoh, hestek, pakein",0.0,0.0,0.0
Shopee,55,"posted, photo, just",0.0,0.0,0.0
Shopee,56,"officialcatcoin, catcoin, giveaway",0.0,0.0,0.0
Shopee,57,"metro_tv, mandiri, terbaik",0.0,0.0,0.0
Shopee,58,"goooo, umurnya, kmu",0.0,0.0,0.0
Bukalapak,-1,"yg, indonesia, brand",0.9787754687395963,0.9668447724704085,0.9714470903078715
Bukalapak,0,"the, and, to",0.9522572532296181,0.8373803098996481,0.0
Bukalapak,1,"diskon, brand, promo",0.8853563991459933,0.9740145206451416,0.0
Bukalapak,2,"yg, ga, aja",0.995694637298584,0.8991360267003378,0.9972447156906128
Bukalapak,3,"chef, zahra, gozali",0.0,0.0,0.0
Bukalapak,4,"dennysantoso, indonesia, tarikuang",0.9830515682697296,0.960573102746691,0.0
Bukalapak,5,"habib, ustadz, ust",0.0,0.0,0.0
Bukalapak,6,"de, la, su",0.0,0.0,0.0
Bukalapak,7,"gisella, anastasia, mulya",0.0,0.0,0.0
Bukalapak,8,"award, penghargaan, best",0.0,0.9978095889091492,0.0
Bukalapak,9,"sibungbung, miawaug, jess",0.0,0.0,0.0
Bukalapak,10,"isyana, sarasvati, seno",0.0,0.0,0.0
Bukalapak,11,"h7qvqkhavsqrqqjhzofei6hztazhmbbtrdlppwadngl, sol, bfrk23t4zbm963xpl7uvtyerywvwz1nav6mntkwkvbzq",0.0,0.0,0.0
Bukalapak,12,"bernapas, rip, dewa",0.0,0.0,0.0
Bukalapak,13,"高仿包包, 时尚, 衣服",0.0,0.0,0.0
Bukalapak,14,"ni, nak, tu",0.0,0.9882785081863403,0.0
Bukalapak,15,"btr, zuxxy, luxxy",0.0,0.0,0.0
Bukalapak,16,"kh, nafis, cholil",0.0,0.0,0.0
Bukalapak,17,"tingting, ayu, iki",0.0,0.0,0.0
Bukalapak,18,"dandhy_laksono, achehsultanate, proklamasi",0.0,0.0,0.0
Bukalapak,19,"qrisbri, komitmenbri, bri",0.0,0.0,0.0
Bukalapak,20,"chika, kinsky, yumi",0.0,0.0,0.0
Bukalapak,21,"kau, nagara, wira",0.0,0.0,0.0
Bukalapak,22,"fypシ, shopeehaul, fypviraltwitter",0.0,0.0,0.0
Bukalapak,23,"محمد, الله, سيدنا",0.0,0.0,0.0
Bukalapak,24,"baha, gus, tyasazuri",0.0,0.0,0.0
Bukalapak,25,"galaxys25, itsgalaxys25, samsungid",0.0,0.0,0.0
Bukalapak,26,"scarlett, whitening, angelista",0.0,0.0,0.0
