,influencer,fused_dim_0,fused_dim_1,fused_dim_2,fused_dim_3,fused_dim_4,fused_dim_5,fused_dim_6,fused_dim_7,fused_dim_8,fused_dim_9,fused_dim_10,fused_dim_11,fused_dim_12,fused_dim_13,fused_dim_14,fused_dim_15,fused_dim_16,fused_dim_17,fused_dim_18,fused_dim_19,fused_dim_20,fused_dim_21,fused_dim_22,fused_dim_23,fused_dim_24,fused_dim_25,fused_dim_26,fused_dim_27,fused_dim_28,fused_dim_29,fused_dim_30,fused_dim_31,fused_dim_32,fused_dim_33,fused_dim_34,fused_dim_35,fused_dim_36,fused_dim_37,fused_dim_38,fused_dim_39,fused_dim_40,fused_dim_41,fused_dim_42,fused_dim_43,fused_dim_44,fused_dim_45,fused_dim_46,fused_dim_47,fused_dim_48,fused_dim_49,fused_dim_50,fused_dim_51,fused_dim_52,fused_dim_53,fused_dim_54,fused_dim_55,fused_dim_56,fused_dim_57,fused_dim_58,fused_dim_59,fused_dim_60,fused_dim_61,fused_dim_62,fused_dim_63,node_type
61,anakjajan,0.023669694,0.09657794,0.07178676,-0.14621487,-0.2450132,0.07087006,0.03845753,0.21571058,-0.08215603,0.082937926,0.13768838,-0.22714266,0.24649093,0.11705394,0.023256112,-0.08329892,-0.10704664,-0.09495755,0.09507083,0.10880597,0.059968363,0.111516565,0.12685049,0.14405367,0.0874256,0.0649826,0.14652154,0.08050302,0.04174322,0.0039273873,-0.026702238,0.1268734,0.093313456,-0.043663114,0.030089714,-0.10951146,0.19375814,-0.0626625,0.090104565,0.038538724,-0.03829269,-0.1772309,0.0043743695,-0.09856632,0.06647779,0.11734241,-0.046060458,-0.06703107,-0.023652993,0.1345325,0.39682677,-0.0062161502,-0.044391192,0.029997837,-0.13912462,-0.1567652,-0.19725457,0.20062509,-0.0952286,0.14404064,0.13345546,-0.032250315,0.13472322,0.008520275,influencer
62,kuliner koko,-0.013353638,-0.024351446,0.047963902,-0.12575032,-0.34048247,0.073615745,-0.01705335,0.27297974,-0.11006168,-0.011261376,0.35198486,-0.2752387,-0.028726708,-0.14282782,0.21630651,-0.12760726,-0.068871014,-0.005713871,0.17740726,-0.2038014,-0.14800334,-0.17576922,0.22928159,-0.03309679,0.052956715,0.098452,0.066963375,0.17516536,0.06952298,-0.13395308,0.117472164,-0.066469826,0.2653901,-0.15515095,-0.21152155,-0.10858317,0.10136123,-0.0230152,0.04605303,-0.0049115466,-0.028482657,-0.26688316,-0.04668057,0.035454392,0.16999283,0.33607584,-0.23937994,0.13715504,0.13363782,0.29092264,-0.104181886,0.16326568,-0.10298178,-0.06447666,-0.06301117,-0.00075383205,-0.220742,0.072554655,-0.11633127,0.10319688,0.22130504,-0.010287158,0.09326178,-0.1339176,influencer
63,susan theresia,-0.08730402,-0.029623263,0.081831634,-0.22001469,-0.41511208,0.0153285405,-0.0066985264,0.21030259,-0.19783644,-0.006339225,0.019891638,-0.20942213,0.25885814,0.063467674,0.025941722,-0.10474798,-0.00860402,-0.107552476,0.12780893,0.15992725,-0.009683,0.11758162,0.0175235,0.243159,0.09658386,0.06357397,0.2398956,0.035454966,-0.060097292,0.088231355,-0.12545507,0.033176392,0.084593564,0.09005301,0.08452231,0.017660452,0.086594075,-0.024589172,0.07900056,0.021375462,-0.032291703,-0.049499802,0.020665405,-0.22278765,-0.057784297,0.032833517,-0.010512566,-0.053554446,-0.18117842,-0.05749625,0.36064857,-0.025483277,0.009748639,0.018256312,-0.14351788,-0.26323044,-0.22866258,0.13406208,-0.011762797,0.13849503,0.12363947,0.062123314,0.19247967,0.010633396,influencer
64,agakenyang,-0.16336851,0.14463384,0.21773413,-0.3015465,-0.50630504,0.060383745,0.25197318,0.29568094,-0.72659546,-0.10021266,0.010630348,-0.46724445,0.49813622,0.2057142,0.013578202,0.24716797,0.34387976,-0.07521643,0.36191514,0.3121202,-0.26063704,0.2936128,-0.4709825,0.33630705,0.031098377,0.28387618,0.09226383,-0.025894063,-0.12895314,-0.08122367,-0.4159519,0.09952243,0.16483039,0.2649482,0.4299528,-0.072656825,0.35210246,-0.32362872,0.29810542,0.62614405,-0.066395715,-0.2942654,-0.26354802,-0.18083821,-0.29461712,-0.19682908,0.028827406,-0.2332983,-0.199337,0.2255283,0.508234,-0.22034913,-0.2016244,0.038459245,-0.020412719,-0.26762313,-0.10329433,-0.06344359,-0.48729694,0.7657519,0.30659443,-0.048813708,0.41699493,-0.27922273,influencer
65,ayoe widya,-0.031136263,-0.090631634,-0.015664803,-0.13806047,-0.34765527,-0.06623115,0.025364954,0.23225534,-0.14215162,0.06913355,0.04246403,-0.19016069,0.2994218,0.01615928,0.049058963,-0.24463762,-0.06884321,-0.08480672,0.18691814,0.04593164,0.012285328,0.095207915,0.08286166,0.13062531,0.16886136,0.015757656,0.18830916,0.12249883,-0.012345438,0.0687301,0.015350815,0.035116997,0.06463106,0.07741969,-0.03287099,-0.025761694,0.17536247,-0.017546017,0.06368801,-0.0071775913,-0.042364217,-0.104582876,-0.014492551,-0.14714989,0.038244773,0.08019678,-0.08419223,0.017437503,-0.08170988,0.029181832,0.4175616,-0.0121241715,-0.09458439,0.05950252,-0.09670087,-0.18119779,-0.14300147,0.21944652,0.012750052,0.28854495,0.17909685,-0.06328165,0.13952109,-0.069513395,influencer
66,syifa hadju,-0.3123911,0.07902488,-0.29563728,0.1258834,0.46737057,-0.15588914,-0.14741683,-0.39124304,0.24767101,-0.120870754,-0.124990374,0.18489847,-0.061921187,-0.11210423,0.10250525,0.27773046,0.06442822,0.54267895,-0.12358166,0.15757611,-0.35941756,-0.2857017,-0.019131163,-0.1317344,0.16041802,0.08917335,-0.27470735,-0.23000446,0.2965405,0.24596949,-0.025371442,0.004599493,-0.2913437,-0.09560092,-0.087846905,-0.10182476,-0.44642958,0.05068549,-0.27719456,0.25324178,-0.09063956,0.42314643,-0.43668985,-0.16412091,0.080175996,-0.38543913,0.054769848,0.14921574,0.091625184,-0.18644628,-0.066033445,0.2702324,-0.11641018,0.05394264,0.5116509,0.399199,0.08670859,-0.532859,0.11754197,-0.5239141,0.36399382,-0.18859431,-0.2899973,-0.065772615,influencer
67,greysia polii,-0.27626842,0.058512557,-0.15825894,0.10976532,0.5417554,-0.0448514,-0.016319908,-0.4698466,0.20443583,-0.015604658,-0.25112975,0.2839272,-0.32739776,-0.22066313,-0.13702697,0.31671315,0.17783564,0.03959265,-0.4083125,-0.2557378,-0.06659266,-0.26375723,-0.086122446,-0.19867465,0.047448747,0.011620831,-0.24671036,-0.16347545,-0.006179558,0.12096072,0.082180984,-0.1558061,-0.13466719,-0.15973094,-0.025311358,0.022654232,-0.43233472,0.005725407,-0.3557444,-0.110319585,0.058439784,0.3776473,0.035121378,0.27199394,0.15978827,-0.18402198,0.21786983,-0.0368082,0.34316325,-0.012877463,-0.582322,0.028499162,0.073269695,-0.05204816,0.27764192,0.41443786,0.22682634,-0.24526475,0.42845815,-0.4277267,-0.37376553,-0.1865975,-0.23516816,0.12417172,influencer
68,apriyani rahayu,0.03470531,-0.020701492,0.031668518,-0.086814284,0.04585374,0.018028919,0.024148077,-0.06037482,-0.069448,0.06925863,-0.0705533,-0.04138927,0.03224072,0.06891035,-0.07872282,-0.046600513,0.09159884,-0.10483739,-0.045806266,0.024244659,-0.014084922,-0.04389513,-0.038710006,0.035511594,-0.0031588208,-0.052019417,0.06302878,-0.0065274164,-0.012278186,-0.025169954,-0.03599988,-0.055625245,-0.00082815957,0.024712391,0.06401632,-0.0041846735,-0.03591246,0.12155865,-0.07317078,0.006728225,-0.0958817,0.05671792,0.09248787,0.011022398,0.03885039,-0.06270502,0.13476235,0.036426768,-0.10813804,-0.120273456,0.024051404,0.018161949,-0.08528161,-0.047823124,-0.023612801,-0.012263006,0.07283449,-0.054050364,-0.00023051209,0.11274241,0.00051377265,0.07450442,-0.07019149,-0.024600096,influencer
69,liliyana natsir,-0.12067564,0.07628938,-0.14437886,0.14990832,0.38322127,-0.27599245,-0.085508205,-0.4558085,0.13217308,-0.055623278,-0.300614,0.28787535,-0.24195804,-0.20914492,-0.09967162,0.20816898,0.08144164,-0.036375225,-0.32979852,-0.1624184,-0.034043927,-0.19395289,-0.12245977,-0.054501764,0.010466086,-0.0035074074,-0.050706968,-0.14821891,0.09808108,0.091328144,0.050281435,-0.042544696,-0.14245789,-0.16801882,-0.058124922,0.11027521,-0.4347205,0.035349026,-0.34667116,-0.032668475,0.07012357,0.3907633,-0.01993056,0.24425384,0.121911235,-0.2223913,0.14832203,0.021072714,0.2257151,-0.013667747,-0.3635634,0.1538663,0.08096525,0.13506426,0.2591668,0.32113373,0.12805015,-0.18628162,0.5222644,-0.3622716,-0.2070634,-0.061856274,-0.19909933,0.067959666,influencer
70,rio haryanto,0.092267856,0.027546097,-0.034170553,-0.037533164,0.12636654,0.20353304,-0.20071296,-0.09456773,-0.09293635,0.18662563,-0.1257919,-0.18089984,-0.05085542,-0.17289895,0.16301847,0.17469527,0.23796678,0.15631911,-0.0112026995,-0.15553406,-0.01370159,-0.06556426,-0.21964884,0.25776416,0.004427756,0.030691529,0.0048651453,-0.12759578,0.28454828,-0.07867056,-0.081848145,0.01574764,0.14501607,0.13994472,-0.052130707,0.32635087,0.22489594,0.0124589,0.3107204,-0.019054357,-0.13661736,-0.29983616,0.118984185,0.121889785,-0.05398611,-0.014940556,-0.21029574,0.17449601,-0.26334456,0.10330306,-0.40758312,0.112562254,0.16373146,0.06122952,0.24010828,0.033985097,-0.23411393,-0.0017000893,-0.17891483,-0.11350632,0.08214686,0.1497124,-0.16028863,-0.16841851,influencer
