influencer,influencer_topic_num,influencer_topic_name,influencer_positive,influencer_neutral,influencer_negative
Atta Halilintar,15,"btr, zuxxy, luxxy",0.0,0.0,0.0
Atta Halilintar,16,"kh, nafis, cholil",0.0,0.0,0.0
Atta Halilintar,17,"tingting, ayu, iki",0.0,0.0,0.0
Atta Halilintar,18,"dandhy_laksono, achehsultanate, proklamasi",0.0,0.0,0.0
Atta Halilintar,19,"qrisbri, komitmenbri, bri",0.0,0.0,0.0
Atta Halilintar,20,"chika, kinsky, yumi",0.0,0.0,0.0
Atta Halilintar,21,"kau, nagara, wira",0.0,0.0,0.0
Atta Halilintar,22,"fypシ, shopeehaul, fypviraltwitter",0.0,0.0,0.0
Atta Halilintar,23,"محمد, الله, سيدنا",0.0,0.0,0.0
Atta Halilintar,24,"baha, gus, tyasazuri",0.0,0.0,0.0
Atta Halilintar,25,"galaxys25, itsgalaxys25, samsungid",0.0,0.0,0.0
Atta Halilintar,26,"scarlett, whitening, angelista",0.0,0.0,0.0
Atta Halilintar,27,"iqbaal, ramadhan, dhiafakhri",0.0,0.0,0.0
Atta Halilintar,28,"kiw, malming, ngantuk",0.0,0.0,0.0
Atta Halilintar,29,"bawang, masukkan, gr",0.0,0.0,0.0
Atta Halilintar,30,"combipharid, hangestri, megawati",0.0,0.0,0.0
Atta Halilintar,31,"jet, lion, air",0.0,0.0,0.0
Atta Halilintar,32,"selaluadayangbaik, merryriana, orang",0.0,0.0,0.0
Atta Halilintar,33,"rian, fahardhi, tiktok",0.0,0.0,0.0
Atta Halilintar,34,"gak, nadanya, nyindir",0.0,0.0,0.0
Atta Halilintar,35,"dwnmemb_, dian, laura",0.0,0.0,0.0
Atta Halilintar,36,"__________________, ___luckyone, arabil__",0.0,0.0,0.0
Atta Halilintar,37,"telenovelena, mom, blm",0.0,0.0,0.0
Atta Halilintar,38,"jargon, kesuksesan, damn",0.0,0.0,0.0
Atta Halilintar,39,"mah, teu, kang",0.0,0.0,0.0
Atta Halilintar,40,"siauw, felix, skakmat",0.0,0.0,0.0
Atta Halilintar,41,"nescafe, produsen, lowongan",0.0,0.0,0.0
Atta Halilintar,42,"2017, polytron, global",0.0,0.0,0.0
Atta Halilintar,43,"bekti, ssefmun, indra",0.0,0.0,0.0
Atta Halilintar,44,"tp201, vivobook, meluncur",0.0,0.0,0.0
Atta Halilintar,45,"gideon, marcus, fernaldi",0.0,0.0,0.0
Atta Halilintar,46,"cha, eun, ambassador",0.0,0.0,0.0
Atta Halilintar,47,"axioo, diakui, asli",0.0,0.0,0.0
Atta Halilintar,48,"hammerifw, diadakan, februari",0.0,0.0,0.0
Atta Halilintar,49,"rauf, raden, radenrauf",0.0,0.0,0.0
Atta Halilintar,50,"qr, livin, kopi",0.0,0.0,0.0
Atta Halilintar,51,"australia, bekti, pindah",0.0,0.0,0.0
Atta Halilintar,52,"ampat, tambang, raja",0.0,0.0,0.0
Atta Halilintar,53,"tanyakanrl, hayuuuuukk, cewe",0.0,0.0,0.0
Atta Halilintar,54,"jodoh, hestek, pakein",0.0,0.0,0.0
Atta Halilintar,55,"posted, photo, just",0.0,0.0,0.0
Atta Halilintar,56,"officialcatcoin, catcoin, giveaway",0.0,0.0,0.0
Atta Halilintar,57,"metro_tv, mandiri, terbaik",0.0,0.0,0.0
Atta Halilintar,58,"goooo, umurnya, kmu",0.0,0.0,0.48690924048423767
Prilly Latuconsina,-1,"yg, indonesia, brand",0.953662121295929,0.8507617910703024,0.0
Prilly Latuconsina,0,"the, and, to",0.9837434887886047,0.0,0.0
