influencer_name,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
Aprilia Manganang,-0.38326365,-0.21667153,0.3491233,0.16777395,-0.13794158,-0.031546175,0.07691242,-0.27999064,0.3233848,0.42635944,0.41897884,0.43764722,0.1669643,-0.217847,0.75267464,0.021303756
Zohri Lalu,-0.7190468,-0.17909329,-0.104191676,-0.023097845,0.07362534,-0.297094,-0.21206339,-0.049692135,0.18084861,0.016175918,0.22045913,0.39379588,-0.6309483,-0.5434872,0.8105679,-0.48631692
Bryan Domani,-0.3942587,-0.20356977,0.33474088,0.15529679,-0.10742616,-0.051338766,0.07683198,-0.262823,0.3287405,0.4152613,0.40385568,0.4212366,0.12038137,-0.22110476,0.7595074,-0.0053691906
Yasa Singgih,-0.47462302,-0.24808165,0.39525464,0.18820223,-0.11623725,-0.02057512,0.112369776,-0.32047203,0.41104367,0.566859,0.4734843,0.4997773,0.08765411,-0.29057324,0.9333307,0.018729815
Andhika Diskartes,-0.43283945,-0.23757055,0.38677332,0.18798673,-0.14634988,-0.034442548,0.09123833,-0.3123489,0.35689777,0.47105822,0.4607873,0.47871456,0.17056525,-0.2488069,0.8442331,0.01763605
Raden Rauf,-0.46434566,-0.23201872,0.3807169,0.18451878,-0.11190769,-0.034679253,0.10664456,-0.3099275,0.39338124,0.5124052,0.45604795,0.47553304,0.097833216,-0.27121094,0.8938165,3.273873e-05
Sandy Firmansyah,-0.60778517,-0.6587595,0.530005,-1.2627285,0.20704538,-0.7678564,0.7875131,-0.007832648,1.1365837,0.52275145,-0.4090678,-0.6106004,-1.1190107,-0.9641592,1.4207419,1.1431239
Jouska,-0.43692374,-0.23561187,0.38186103,0.18643749,-0.13488957,-0.030586088,0.094242886,-0.30927423,0.3659369,0.48947477,0.45614392,0.477158,0.14501111,-0.2554649,0.8562671,0.019164981
Fellexandro Ruby,-0.45764711,-0.23548897,0.3919538,0.19093774,-0.13800552,-0.0452946,0.10058286,-0.31840187,0.37298506,0.4659771,0.46678424,0.47844923,0.15785773,-0.25480497,0.86964923,-0.0052136797
Denny Santoso,-0.6708382,-0.13456126,-0.15164371,-0.0033647527,0.027699297,-0.32171035,-0.41275325,-0.065751195,0.1657868,0.08880125,0.23588377,0.49847332,-0.587027,-0.5587782,0.7334237,-0.4187305
Vincent Raditya,-0.4621623,-0.23895137,0.39706114,0.19118817,-0.14034149,-0.040571578,0.1011104,-0.32341018,0.37945506,0.4802807,0.47481516,0.4865329,0.15857685,-0.26153043,0.8781387,-0.0032609901
Christian Sugiono,-0.64553946,-0.2363416,0.3465959,0.03545711,-0.01657401,-0.1989027,0.045317736,-0.24670999,0.4799727,0.52269983,0.6590853,0.60550165,0.037450735,-0.35293585,1.0164016,-0.35131118
Hanifa Ambadar,-1.7282146,0.11823142,0.20561832,-1.234652,0.22459343,0.13641442,-1.1297487,0.2544967,0.5164305,0.66403127,0.19514185,0.21257463,-1.2763922,-1.2761422,1.4788173,0.03977645
Rendy Saputra,-0.46320283,-0.23094878,0.37902325,0.18468411,-0.110742524,-0.034675628,0.10677219,-0.30879885,0.39252728,0.51089245,0.45362532,0.47345597,0.095950514,-0.2701245,0.8922972,0.00043171062
Agung Hapsah,-0.6383746,-0.21290113,0.3191229,0.00468725,0.0077135973,-0.2645002,0.019736627,-0.20784745,0.44596058,0.423431,0.6467144,0.5785122,0.040683296,-0.32337317,0.9687809,-0.42034206
Irfan Amalee,-0.52240723,-0.27633604,0.43866768,0.19752026,-0.13277502,-0.014336842,0.12847872,-0.3554073,0.45249218,0.6294936,0.5264935,0.5485394,0.0972402,-0.3270123,1.0137739,0.012239708
Sibungbung,-0.50010127,-0.27307656,0.42800373,0.19505365,-0.13128135,-0.008598024,0.12721546,-0.34404734,0.4399358,0.6227964,0.50451016,0.53309184,0.0901237,-0.31572506,0.9870209,0.029007643
Nana Koot,-0.5085249,-0.27990308,0.4404029,0.19758463,-0.14218672,-0.010916312,0.12798981,-0.35356393,0.44332194,0.62265813,0.5199745,0.544849,0.110073246,-0.31896213,0.9960662,0.024747737
Vindy Lee,-0.48916832,-0.2666442,0.43176734,0.2062171,-0.15859161,-0.021217791,0.11742822,-0.35283285,0.41121513,0.54914206,0.5092591,0.52597743,0.16351895,-0.28917426,0.94483924,0.018362883
Chef Arnold,-0.49042284,-0.2682515,0.43296722,0.20671389,-0.15787268,-0.019473217,0.11872342,-0.35351554,0.41364473,0.55629027,0.5098154,0.5278545,0.15940236,-0.29167303,0.9502674,0.020953791
Farah Quinn,-0.49265528,-0.2687201,0.4344279,0.20598383,-0.15855533,-0.02024954,0.11847977,-0.35468924,0.41515628,0.5566002,0.51293314,0.5297785,0.16134106,-0.29285863,0.9514794,0.0182334
William Gozali,-0.49526185,-0.2700405,0.43431193,0.20577471,-0.15424722,-0.016960781,0.12104252,-0.35444635,0.42076862,0.57054,0.5121168,0.5313341,0.1486175,-0.29781413,0.96096504,0.021428496
Chandra Yudasswara,-0.4919461,-0.27068618,0.436224,0.20861451,-0.16102645,-0.017922293,0.11940289,-0.35657933,0.41488934,0.55998737,0.5134969,0.5316404,0.16361667,-0.29310048,0.9544823,0.023132073
Devina Hermawan,-0.4916716,-0.25913692,0.4121641,0.19565335,-0.123648,-0.007900869,0.12395997,-0.33763975,0.43229213,0.6010221,0.48934796,0.515954,0.08546462,-0.30591318,0.9640009,0.024304098
Yuda Bustara,-0.4993066,-0.26981333,0.43127418,0.20339236,-0.14457346,-0.012374234,0.124446176,-0.35214534,0.4301561,0.5910599,0.50933033,0.53147876,0.12484936,-0.3053982,0.9728623,0.023193689
Tasya Farasya,-0.4680166,-0.2709565,0.4240539,0.18069953,-0.14782648,-0.026404096,0.10870718,-0.3282842,0.4031666,0.5644278,0.49660075,0.5214942,0.13767168,-0.2895436,0.9228856,0.025787216
Bara Pattiradjawane,-0.4933612,-0.26238105,0.41551337,0.19792338,-0.12573469,-0.0047782967,0.12565637,-0.34062582,0.43491113,0.6098917,0.49224466,0.5202519,0.085500486,-0.3088259,0.97149485,0.028956387
My Fun FooDiary,-0.50757104,-0.2789994,0.43902063,0.19768018,-0.14126824,-0.010952299,0.12797876,-0.35264096,0.4425676,0.62132615,0.51809204,0.5432126,0.10872138,-0.3180706,0.9947205,0.025025152
Kadek Arini,-0.4957125,-0.2836453,0.44666046,0.19679849,-0.15592216,-0.017458212,0.123578236,-0.35209358,0.42685917,0.59738916,0.51745385,0.5423924,0.13773972,-0.30797118,0.9738476,0.029685088
Vina Muliana,-0.65244627,-0.14481793,-0.12085057,-0.023692077,0.056762416,-0.31263402,-0.3066934,-0.03867141,0.1842909,0.042754784,0.19703965,0.4318473,-0.5817508,-0.5171909,0.7118505,-0.4199566
Marischka Prudence,-0.49438068,-0.2857032,0.45166168,0.20007926,-0.16555178,-0.020404419,0.1219735,-0.35617864,0.4209295,0.58371896,0.5222431,0.544818,0.15881202,-0.3030934,0.96839476,0.029197488
Trinity Traveler,-0.4914437,-0.27693844,0.43379983,0.19201198,-0.14045164,-0.013802752,0.12440119,-0.34219515,0.42973506,0.6077123,0.5032137,0.5320546,0.10711678,-0.30949512,0.9714197,0.031650357
Adrian Maulana,-0.49088433,-0.28919232,0.4580602,0.20299551,-0.17780364,-0.022837114,0.11972801,-0.3604704,0.41336375,0.569773,0.5276937,0.5482468,0.18394248,-0.2975068,0.9603166,0.030818187
Backpacker Tampan,-0.49377006,-0.28169888,0.4411361,0.19435796,-0.14791894,-0.014067694,0.1250408,-0.34735072,0.42992753,0.6079576,0.51030535,0.5383094,0.11938457,-0.31032136,0.9754912,0.03302782
Mira Lesmana,-0.48076218,-0.26191026,0.41902223,0.19290465,-0.13777703,-0.038120322,0.112228125,-0.32980683,0.40067217,0.54153395,0.48985794,0.51286465,0.12970883,-0.28630632,0.94118875,0.014317943
Oki Setiana Dewi,-0.42196918,-0.24212617,0.39048934,0.17773002,-0.15141419,-0.049697842,0.09085529,-0.30168167,0.34366387,0.44432262,0.4519243,0.469617,0.1798187,-0.23714958,0.821916,0.012663193
Jess no Limit,-0.42395255,-0.23601998,0.37258676,0.16426353,-0.12522121,-0.028535856,0.08862876,-0.29266146,0.36849067,0.5078624,0.45020148,0.47369143,0.1227439,-0.25769794,0.8352325,0.018772276
Frost Diamond,-0.4490623,-0.24085274,0.39373258,0.1695845,-0.13310502,-0.06026891,0.093079634,-0.30202892,0.36581242,0.46436015,0.46492064,0.47873518,0.14890794,-0.25571477,0.85608995,-0.011919043
MiawAug,-0.49326733,-0.27184317,0.4350755,0.17975275,-0.14429224,-0.05003989,0.10948577,-0.33289883,0.4088686,0.5456767,0.512616,0.52921766,0.14280389,-0.29541466,0.94782877,-0.004192446
Windah Basudara,-0.44921333,-0.24510372,0.39753154,0.17022312,-0.13510734,-0.05752274,0.09400106,-0.30363375,0.36774975,0.47502086,0.46749312,0.4836102,0.148009,-0.25899512,0.86277467,-0.005798513
Jonathan Liandi,-0.4235707,-0.23752756,0.37602678,0.16612399,-0.13138711,-0.030741379,0.087845676,-0.29533082,0.3648862,0.49903297,0.4536443,0.47538185,0.13616596,-0.2547608,0.8320855,0.017686386
