,brand,fused_dim_0,fused_dim_1,fused_dim_2,fused_dim_3,fused_dim_4,fused_dim_5,fused_dim_6,fused_dim_7,fused_dim_8,fused_dim_9,fused_dim_10,fused_dim_11,fused_dim_12,fused_dim_13,fused_dim_14,fused_dim_15,fused_dim_16,fused_dim_17,fused_dim_18,fused_dim_19,fused_dim_20,fused_dim_21,fused_dim_22,fused_dim_23,fused_dim_24,fused_dim_25,fused_dim_26,fused_dim_27,fused_dim_28,fused_dim_29,fused_dim_30,fused_dim_31,fused_dim_32,fused_dim_33,fused_dim_34,fused_dim_35,fused_dim_36,fused_dim_37,fused_dim_38,fused_dim_39,fused_dim_40,fused_dim_41,fused_dim_42,fused_dim_43,fused_dim_44,fused_dim_45,fused_dim_46,fused_dim_47,fused_dim_48,fused_dim_49,fused_dim_50,fused_dim_51,fused_dim_52,fused_dim_53,fused_dim_54,fused_dim_55,fused_dim_56,fused_dim_57,fused_dim_58,fused_dim_59,fused_dim_60,fused_dim_61,fused_dim_62,fused_dim_63,node_type
10,indomie,0.01606648,-0.030460747,-0.07362322,-0.1992841,-0.014318526,0.26560992,0.05283685,-0.16990712,-0.27048162,0.010921482,-0.06713139,-0.14741988,0.016228447,0.13295555,-0.051396698,0.19154906,0.20512612,-0.022242099,-0.22734758,0.08481533,0.061733965,0.07916653,-0.075243324,0.009845232,0.041994713,0.03658916,-0.13448074,-0.07848278,0.00045433675,-0.10654712,0.014208974,-0.11863071,-0.13540095,-0.07850033,-0.026606701,0.09604099,0.07143289,-0.2276592,0.06664723,0.07180185,-0.12391397,-0.06985394,0.31198522,0.32596987,0.034333147,-0.0018548233,0.0860406,-0.018391468,0.314552,0.05424746,-0.17393023,-0.19955426,0.007419227,-0.10152216,0.022294989,0.17974836,0.14878961,0.009429421,0.010164047,0.18577306,-0.24427333,-0.06776903,0.18619397,0.009585877,brand
11,mie sedaap,-0.0783668,-0.022315815,-0.13414672,-0.10140651,-0.11403844,-0.005259444,-0.05267626,0.0046920544,-0.10355763,0.018504143,-0.036986187,-0.032175235,0.13087547,-0.09295362,-0.06725146,-0.046351828,0.056655556,-0.1189017,-0.13733104,-0.10920072,-0.06169568,0.08893171,-0.08471662,-0.099906445,-0.0019858447,0.08038418,0.041424252,-0.046761133,-0.07281999,-0.10815367,-0.026420582,-0.03361411,0.091540866,-0.12519154,-0.03634911,-0.010059448,-0.046135135,0.08578496,-0.106016785,0.05028287,-0.09114519,0.12972543,0.006058477,0.17286232,0.08200287,0.099184945,0.15559536,-0.12022567,0.0717147,0.06950468,-0.06670589,-0.07727198,0.03491863,0.0630877,-0.17411026,0.055029303,-0.01413239,0.13706936,0.22759855,0.107608244,-0.21366236,-0.14219256,0.020081494,0.03555339,brand
12,pop mie,-0.0557013,-0.020848403,-0.076161034,-0.1371139,-0.03420108,0.11968695,-0.04729762,-0.030052613,-0.1387933,0.10376081,0.0134939635,-0.030383764,0.08872923,0.036713816,-0.023978144,0.016964683,0.12693971,-0.063648984,-0.15875348,-0.009530427,-0.041799285,-0.011361495,-0.05884652,-0.054892138,-0.013176606,-0.011476854,-0.038958967,0.00531138,0.018846761,-0.06917708,0.024355626,-0.020109355,0.08578939,-0.045470096,0.06400659,-0.043766573,0.010652306,0.113795415,-0.10209902,-0.02073766,-0.1316131,0.08294099,0.041305713,0.0643578,0.0787954,0.07008837,0.1412968,-0.060175333,0.0050887093,-0.05800385,0.0016683761,0.013462367,-0.06277996,-0.019633535,-0.1334365,0.087844975,-0.034747794,0.018684968,0.05303385,0.05935406,-0.072172806,-0.050121583,-0.04945226,0.042797614,brand
13,sosro,-0.06647463,0.06732905,-0.017779676,-0.12220138,-0.010178576,0.15338472,0.059396204,-0.07300937,-0.19393161,0.0970792,0.01122852,-0.029188717,0.027306292,0.0016180472,-0.061234392,0.09221882,0.15077595,-0.14379403,-0.13538408,-0.042374358,0.023803579,-0.06401502,-0.08376829,-0.008935465,-0.01667504,0.061662104,-0.05868367,-0.030463167,-0.071920246,-0.08755389,0.031232763,-0.056222055,0.08211845,-0.07484478,0.0516248,-0.08297923,0.065534905,-0.0058652405,-0.059975445,-0.043333627,-0.1099248,0.019305106,0.089445636,0.13664493,0.033272278,0.043122426,0.1390906,-0.11460076,0.17286879,0.021321781,-0.12938862,-0.07783388,-0.024134353,-0.038817413,-0.11563279,0.100983664,-0.024585657,0.051105782,0.063034594,0.11808529,-0.17414883,-0.11567058,0.034307677,0.027849318,brand
14,frestea,-0.0015357418,0.12473412,0.0480247,-0.043573424,-0.009406767,0.07789914,0.054683276,-0.049165297,-0.12002814,0.06492216,-0.03792688,-0.0627834,0.031718403,-0.010636142,-0.03250826,0.05520452,0.09373632,-0.16432337,-0.0697783,-0.0393781,0.022371635,-0.044970546,-0.05805736,0.111399144,-0.018972224,0.010674767,0.045850128,-0.023590958,-0.044523843,-0.041022174,-0.02619807,-0.074070156,0.078194916,0.024287619,0.08420119,-0.031187508,0.031775545,-0.0058631366,-0.023830082,-0.10505027,-0.12211898,-0.017625334,0.08709418,0.06323561,0.036023907,-0.009713545,0.08637567,-0.0491158,0.07626389,0.025158547,-0.041384757,0.021939605,-0.022461902,-0.012285387,-0.037694406,0.068554096,-0.04299905,0.04942782,0.005405804,0.05391916,-0.13033754,-0.033871837,0.050785594,-0.0037271425,brand
15,aqua,-0.023166932,0.14421812,0.20652765,-0.031672124,0.052338496,0.050853945,0.055354718,0.122818224,-0.30656427,0.09597808,-0.04661894,-0.050917745,0.07142115,0.029015008,0.16681328,0.1645242,-0.012217734,0.11617729,0.046110533,-0.008763397,0.055655334,-0.011942994,-0.13362557,-0.0047878446,-0.17234837,0.14695661,-0.067371175,-0.009688847,0.14638323,-0.12720487,0.022135137,-0.10043703,0.07585691,-0.082189865,0.103185706,0.04966081,0.008857896,-0.13181388,0.13015856,0.0020936602,-0.131289,-0.046828676,0.0707495,0.030924562,0.025215507,0.08068031,-0.12799785,-0.046937175,0.012651296,0.04857395,-0.23530114,0.04699061,-0.07330856,-0.08269705,0.07355425,0.060934488,-0.14791408,0.08835104,-0.14721483,-0.11900456,-0.060749345,0.15899411,-0.032836437,-0.023912596,brand
16,le minerale,0.036661416,0.07746266,0.05020644,-0.052285176,0.081140965,0.062312998,0.060429268,-0.07157928,-0.10323533,0.07934803,-0.030305948,-0.07200967,0.0131710265,0.0030934475,-0.106250405,0.085325345,0.116323814,-0.09413476,-0.106411844,-0.02115035,0.035231225,0.043857075,-0.03966165,0.01633637,-0.001492444,0.009847416,-0.062498026,-0.0057140826,0.019943722,-0.12643284,-0.039323684,0.02215917,0.057096556,-0.0288518,0.053065114,-0.047445595,0.08183827,-0.060022324,-0.023635201,0.016032634,-0.05868601,-0.056036167,0.02581966,0.1817667,0.077623695,0.020049779,0.06497334,-0.060163677,0.10172809,0.10290259,-0.04048186,-0.0672171,-0.014066911,0.034622148,-0.030615248,0.0941564,0.013804967,0.021261308,-0.03496681,0.14403701,-0.09914357,-0.067767285,0.0064525865,-0.0070894407,brand
17,ultra milk,-0.028743591,0.100783065,0.03275924,-0.062822595,0.079310104,0.09816421,0.050589524,-0.07921973,-0.036034156,0.061868124,-0.026123416,-0.07022683,0.018077148,0.016551714,-0.13313305,0.11261071,0.1013332,-0.1292479,-0.12670779,0.015481742,-0.011580175,0.0030944282,-0.09932793,0.048646018,-0.0151874,-0.011054171,-0.050465576,-0.0050481684,0.014746993,-0.038406603,-0.083399355,-0.0062048314,0.06342697,0.0066919113,0.13225001,-0.062993556,0.029372308,-0.040129114,-0.019179147,-0.028203513,-0.038467363,0.015470181,0.039378665,0.084448926,0.081976965,-0.04622382,0.108152516,-0.11426535,0.06603794,0.06398032,-0.020967271,-0.021530107,-0.00078377756,0.016035996,-0.017674226,0.09400473,-0.010702316,-0.0519419,-0.00785807,-0.015893932,-0.11632191,-0.04243545,-0.0032525272,0.061532963,brand
18,sariwangi,0.045590423,0.03956162,0.031523537,-0.115095526,0.06347254,0.09543524,0.005262837,-0.065946475,-0.06648594,0.10468304,-0.03626355,-0.07152641,0.098273546,0.026896823,-0.07470398,0.017329264,0.10670903,-0.11788366,-0.1097091,-0.017061358,0.072022244,0.033715583,-0.050806575,0.02702238,0.0063847806,0.02768007,0.015878456,-0.007845978,-0.014011344,-0.04779833,-0.053307086,-0.00824151,0.04131145,-0.04153429,0.05335004,0.018445978,0.07049462,0.06568377,-0.019735117,0.014569628,-0.0988593,-0.012044176,0.11102028,0.12354861,0.070649624,0.03821806,0.15515226,-0.030817946,0.029404748,0.010282999,-0.06298709,-0.06753141,-0.026893977,-0.019241631,-0.11696166,0.020065513,0.014516092,0.062135674,-0.021741789,0.18876041,-0.08754139,0.0076016644,0.023262918,0.024460677,brand
19,good day,0.11097485,0.08539109,-0.07555211,-0.052341968,0.069229215,0.009735235,-0.110996634,-0.14363545,0.038863294,0.07024826,-0.11035772,-0.15052423,0.17676853,-0.15549773,-0.06720817,-0.08143662,0.022762667,-0.13201322,-0.1273166,-0.095889345,0.009294604,0.13195422,-0.09169428,-0.013412971,-0.05300416,-0.03083162,0.13306743,-0.090242386,0.04669938,-0.08110823,-0.15343437,-0.015858494,0.059711352,-0.06881334,-0.090527095,0.13367637,0.012101549,0.10324563,0.01772616,0.09952174,-0.034133196,0.10998903,0.04661648,0.11402969,0.13866276,0.1094947,0.2022151,0.019892603,0.02430254,0.15713906,-0.044381205,0.018260375,0.13326955,0.10762097,-0.0048528863,0.047458023,-0.05107242,0.08299341,0.09079484,0.03759247,-0.13707311,-0.03870782,-0.011817531,0.08262764,brand
