influencer,influencer_top1_positive,influencer_top1_neutral,influencer_top1_negative,influencer_top1_name,influencer_top2_positive,influencer_top2_neutral,influencer_top2_negative,influencer_top2_name,influencer_top3_positive,influencer_top3_neutral,influencer_top3_negative,influencer_top3_name
Natasha Wilona,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Nona Berlian Sakina,0.7740581631660461,0.9589919249216715,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Oki Setiana Dewi,0.9361309872733222,0.9536360276156458,0.940896786749363,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Pandji Pragiwaksono,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"bernapas, dicari, dewa",0.0,0.0,0.0,"fahardhi, rian, tiktok"
Prilly Latuconsina,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Raden Rauf,0.952589120350632,0.9262380205815838,0.9053042382001877,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Raditya Dika,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"goooo, umurnya, bar",0.0,0.0,0.0,"fahardhi, rian, tiktok"
Rara Sekar,0.9024627471671385,0.9206084441393614,0.9195176055354457,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Rekt,0.0,0.0,0.7728232145309448,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Remy Sylado,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Rendy Saputra,0.8995148348808288,0.8798787466117314,0.8376569971442223,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Reza Aditya,0.8145418425401052,0.9292578369379043,0.93728715578715,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Rian Fahardhi,0.0,0.0,0.0,"fahardhi, rian, tiktok",0.8639202900230885,0.9386028073728084,0.9878436724344889,"brand, indonesia, yg",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Rio Haryanto,0.9014659919017969,0.941914654960317,0.8891325809738853,"brand, indonesia, yg",0.9014659919017969,0.941914654960317,0.8891325809738853,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Rizki Amelia,0.9389411947306465,0.9305823653936386,0.9203985267215304,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Rizky Febian,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Salim A. Fillah,0.928574800491333,0.9540420492118764,0.8833334252641007,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Sandy Firmansyah,0.9543347656726837,0.9888535976409912,0.8225959009594388,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Sarah Ayu,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Sarah Viloid,0.8858671707984729,0.9493549739507804,0.9282319193245262,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Sarwendah,0.8964901518177342,0.9368652868161508,0.9552325000365575,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Seno Gumira Ajidarma,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Sibungbung,0.8879177477853052,0.9312473006108228,0.8991683697508227,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Susan Theresia,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Syafiq Riza Basalamah,0.9186419659777533,0.9576545178311543,0.899567571553317,"brand, indonesia, yg",0.0,0.0,0.0,"sirah, live, menghadang",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Syifa Hadju,0.9170191535409892,0.9572960639872202,0.9605304444277728,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Tasya Farasya,0.9195694327354431,0.9026959744095803,0.9085731148719788,"brand, indonesia, yg",0.0,0.0,0.0,"goooo, umurnya, bar",0.0,0.0,0.0,"fahardhi, rian, tiktok"
Tasya Kamila,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
