influencer,fused_dim_0,fused_dim_1,fused_dim_2,fused_dim_3,fused_dim_4,fused_dim_5,fused_dim_6,fused_dim_7,fused_dim_8,fused_dim_9,fused_dim_10,fused_dim_11,fused_dim_12,fused_dim_13,fused_dim_14,fused_dim_15,fused_dim_16,fused_dim_17,fused_dim_18,fused_dim_19,fused_dim_20,fused_dim_21,fused_dim_22,fused_dim_23,fused_dim_24,fused_dim_25,fused_dim_26,fused_dim_27,fused_dim_28,fused_dim_29,fused_dim_30,fused_dim_31,fused_dim_32,fused_dim_33,fused_dim_34,fused_dim_35,fused_dim_36,fused_dim_37,fused_dim_38,fused_dim_39,fused_dim_40,fused_dim_41,fused_dim_42,fused_dim_43,fused_dim_44,fused_dim_45,fused_dim_46,fused_dim_47,fused_dim_48,fused_dim_49,fused_dim_50,fused_dim_51,fused_dim_52,fused_dim_53,fused_dim_54,fused_dim_55,fused_dim_56,fused_dim_57,fused_dim_58,fused_dim_59,fused_dim_60,fused_dim_61,fused_dim_62,fused_dim_63,node_type
agustina hermanto,-0.037502907,0.058509164,-0.0022906703,0.007545015,-0.041617736,-0.054695666,0.0036901848,0.05292411,0.015289993,0.0821327,-0.028860753,-0.045501024,-0.037356786,0.0006521791,0.074387565,-0.034286622,-0.0037576952,-0.065395705,-0.035021,-0.098906085,0.07440208,0.021957386,-0.11330518,0.008287978,0.05285514,-0.012406821,-0.06644523,-0.024132948,0.064224586,0.044102196,0.008200552,-0.044772144,-0.0075337905,0.17719766,-0.00018146168,0.03489892,0.046886988,0.012545003,0.030590585,-0.043488793,-0.19325289,0.0068445234,0.017869618,0.0030501336,-0.08406443,0.06829159,-0.049317457,-0.052068472,0.109411515,-0.018362332,-0.007444345,0.029867698,0.0759477,0.18809724,-0.0695841,0.11578515,0.08966686,0.17320833,-0.01852445,-0.033834003,-0.1660367,-0.040743526,0.07449878,0.17680097,influencer
najwa shihab,-0.009516118,0.059158802,-0.0206898,0.039458357,-0.042420737,-0.07634761,0.0155251045,0.033142306,0.0033523487,0.041181132,-0.013107187,-0.020805849,-0.025132556,-0.044718705,0.10257641,-0.045120176,0.035639755,-0.05933176,-0.03444341,-0.11880458,0.10638082,0.011715301,-0.1027859,-0.029814301,0.072010145,-0.013370217,-0.08907357,0.014981762,0.07676947,0.061978653,0.013994835,-0.023030126,-0.0011051779,0.1944387,0.0045753936,0.02056146,0.06345413,-0.014069187,0.005897591,-0.021533936,-0.1644414,0.029193496,0.06929202,-0.013527231,-0.08736117,0.061151695,-0.07313576,-0.060865067,0.05619878,-0.03197984,-0.021971814,0.045138814,0.064447135,0.20081872,-0.07948537,0.15246269,0.07232979,0.20228802,-0.029138975,-0.034640066,-0.16306606,-0.038495123,0.06960896,0.17917386,influencer
dewi lestari,-0.024161436,0.009050986,-0.011619869,0.07722859,-0.0340278,-0.0757406,-0.036135204,0.05732094,0.07059903,0.01638772,-0.076024085,-0.04810171,-0.029720621,0.018076904,0.12226855,-0.045973442,-0.021420322,-0.09009995,-0.052650586,-0.11586779,0.11114336,0.073862284,-0.08168439,-0.056454875,0.039324015,-0.008304892,-0.06076018,-0.09761669,0.070417464,0.021896722,0.021556208,0.024524216,-0.073557094,0.19008106,0.029328536,0.02650673,0.08024646,-0.019676298,0.017340474,-0.037812866,-0.21040243,-0.019721303,0.04393162,0.015792996,-0.052883193,0.06629341,-0.042797208,-0.12168028,0.08078041,-0.020738069,-0.0031917954,0.09254875,0.07234335,0.18256396,-0.06822339,0.14181933,0.053973168,0.11058614,-0.020900037,-0.037511684,-0.15506274,-0.04317856,0.16200131,0.18717158,influencer
brian febrian,-0.17892374,0.15509978,0.044747047,-0.33481216,-0.16781005,0.0007306831,0.111732095,0.20788845,-0.0974201,0.10755793,0.26327655,0.05340607,0.033966392,0.21747185,-0.35421997,0.1426473,-0.13173784,-0.05247426,-0.049461946,0.1741704,-0.083654895,0.00055116834,0.016462406,0.2676478,-0.06070742,0.1850256,0.10887605,-0.16252643,0.11937545,0.22802764,-0.22830853,-0.27381492,0.39123425,0.06764908,0.057788983,0.04678631,-0.074781746,0.056608047,-0.1086742,-0.2664559,-0.27573755,-0.10395185,-0.097898625,0.23373139,0.056908086,0.19886187,0.09922696,0.40527976,0.27290526,-0.08805698,0.106384754,0.07024836,0.18705693,0.030111007,0.048995867,-0.206732,0.12706065,-0.02361788,-0.033331856,0.15446936,-0.18758768,0.11073829,-0.16271758,0.16023925,influencer
najelaa shihab,-0.0064180666,0.047774784,-0.10686603,-0.01302561,-0.052782603,-0.09475652,-0.0024530236,0.047997333,-0.058796614,0.05399899,0.0049016466,0.045674063,-0.0317648,-0.031741828,0.07137878,0.012089782,0.029623033,-0.034714386,-0.030263487,-0.13594064,0.06419324,0.064903244,-0.04823839,0.0042335982,0.04936456,0.03434944,-0.070619,-0.003643087,0.09908744,0.08760652,0.044521935,-0.02844105,0.059203997,0.1570219,0.026496088,-0.034743495,-0.006645805,0.037155285,0.0348287,-0.042895887,-0.18300694,0.024935305,0.04493674,-0.019657355,-0.06484303,0.0482641,-0.05527308,0.023988485,0.07257282,0.013202423,0.025166042,0.026929028,0.12381762,0.18024403,-0.05492183,0.118269466,0.046142682,0.12737532,-0.12706614,-0.03854622,-0.17074713,0.0062275687,0.038562655,0.11197765,influencer
gede prama,0.004251224,0.033286866,-0.099270985,0.000778626,-0.060374685,-0.087506644,-0.020885333,0.057707697,-0.027866274,0.021521622,-0.03468532,0.047921307,-0.028476084,-0.0059095947,0.07417734,-0.0049017603,0.0013437405,-0.046566844,-0.055936135,-0.14512406,0.06702544,0.08955529,-0.042021573,-0.007424037,0.036367025,0.040221278,-0.060071684,-0.058677193,0.107303515,0.090527356,0.061023366,-0.012139592,0.028079458,0.16551864,0.050941862,-0.033203103,0.004441076,0.04672355,0.040534616,-0.05227681,-0.21889296,-0.010634285,0.031558663,-0.0056831916,-0.062186405,0.05520936,-0.044491146,-0.0054026665,0.09254001,0.015653895,0.011858092,0.053464655,0.14873569,0.1731559,-0.054411102,0.109578826,0.029729031,0.07386458,-0.13816416,-0.04498913,-0.16849107,0.010680007,0.086634755,0.12009819,influencer
gitasav,-0.10647787,0.07205503,-0.01655602,-0.113903925,-0.09725025,-0.051718555,0.021000441,0.12343606,-0.026123257,0.08169654,0.09478311,0.007499709,-0.010025385,0.097561404,-0.07814447,0.065323666,-0.06727174,-0.06394627,-0.035514437,0.002738718,0.015734324,0.05237317,-0.02314175,0.08343357,-0.009578548,0.088919595,0.009888712,-0.12191273,0.094043985,0.105548635,-0.080456436,-0.094341055,0.14857642,0.11758454,0.044110544,0.022133622,-0.018220527,0.012340781,-0.024072058,-0.1467536,-0.23472288,-0.042360723,-0.02178003,0.09552154,0.0029678065,0.11150916,0.019791674,0.1289438,0.15864882,-0.035795588,0.080168694,0.07605551,0.13010058,0.10839562,-0.012000443,-0.014119249,0.094514444,0.040419888,-0.0499978,0.04704756,-0.17038132,0.045417033,0.008691713,0.15630719,influencer
alya nurshabrina,-0.102708906,0.009136075,-0.00523799,0.06278093,-0.041388888,-0.10157308,-0.022568889,0.061971314,0.045636766,0.073733166,0.023090646,-0.07716881,-0.026890688,0.015042917,0.11017095,0.016907824,-0.028151866,-0.099810064,0.00789231,-0.078094676,0.12662895,0.058482397,-0.073382854,-0.064480364,0.03392332,-0.0037510786,-0.062329993,-0.07228178,0.053175185,-0.010741502,-0.0532775,0.037376765,-0.03210806,0.17540967,-0.0045428183,0.05046882,0.056179777,-0.1000265,-0.007390842,-0.06407029,-0.17041455,0.021506622,0.06353847,0.02092123,0.0018430994,0.05794575,-0.03521428,-0.0784041,0.045457058,-0.043063194,0.083062604,0.10271248,0.019434372,0.16797297,-0.0561497,0.1435304,0.10278843,0.14751738,0.04580945,0.0053618243,-0.15355778,-0.01911475,0.11473713,0.2051745,influencer
reza aditya,-0.15381885,0.11117745,-0.028075408,-0.21098028,-0.11273383,-0.05495137,0.06731653,0.14444752,-0.10088219,0.13861078,0.21735156,0.030395713,-0.0016162643,0.108082086,-0.17321144,0.13453585,-0.053009335,-0.042189933,0.0008522362,0.0720931,-0.025657143,0.019150436,0.0009734465,0.16004159,-0.01721855,0.12686184,0.033258483,-0.07329407,0.09613085,0.14017281,-0.15243739,-0.16743687,0.2848353,0.078784674,0.021277888,0.01716166,-0.067851976,0.012533697,-0.059365213,-0.18364102,-0.20285943,-0.012917071,-0.028782057,0.12388006,0.032073673,0.12809032,0.03675813,0.27778998,0.1658777,-0.048683263,0.13096711,0.043269217,0.122032925,0.086005524,0.015331112,-0.07198031,0.12601328,0.07301006,-0.046627715,0.095388494,-0.18235597,0.0743204,-0.11451474,0.13516478,influencer
felix siauw,-0.041426927,0.0035168603,-0.043928258,0.062948495,-0.052090846,-0.09366007,-0.041378573,0.057956405,0.0404661,0.02620469,-0.048480157,-0.024210813,-0.028244715,0.012810808,0.120165765,-0.01491701,-0.032353904,-0.086119056,-0.03912253,-0.13410819,0.11416405,0.09314448,-0.064512454,-0.06537007,0.031522144,0.008315978,-0.06521774,-0.09940465,0.081447065,0.027265992,0.024055183,0.04185348,-0.05117549,0.18792756,0.035031777,0.016231706,0.044248305,-0.031712607,0.028508365,-0.05573735,-0.21851686,-0.015194245,0.045343976,0.0051246407,-0.031763546,0.053307638,-0.04100891,-0.09330265,0.074270114,-0.009642473,0.03746823,0.09926185,0.09230009,0.17492832,-0.062381625,0.14215544,0.058579367,0.08471219,-0.043000508,-0.032954764,-0.15752812,-0.008106322,0.15127918,0.1781523,influencer
